CNTSCHID,CNTSTUID,STRATUM,REPEAT,WORKPAY,DURECEC,SISCO,SCHRISK,INFOSEEK,ESCS,ICTSCH,ICTAVSCH,ICTQUAL,ICTENQ,MPVMATH,MPVREAD,MPVSCIE
50400025,50400011,MAR01,0,0,5,1,0.5348,0.2264,1.0273,0.4062,7,-0.2205,3.7481,360.7487,355.3656,338.8896
50400152,50400019,MAR01,0,0,2,1,-0.6386,0.897,-2.44,0.4062,7,-0.6091,0.3041,461.7184,487.575,488.935
50400093,50400034,MAR01,0,0,2,1,0.5348,0.4893,0.6817,0.4062,7,-0.7818,0.4455,414.4962,460.3951,423.1751
50400137,50400052,MAR01,1,0,0,9,-0.6386,-1.1032,-3.1341,0.4062,7,0.4758,-1.1168,340.1526,284.2741,347.644
50400021,50400065,MAR01,1,2,2,1,0.5348,0.806,-1.1593,0.4062,7,-2.8028,-2.3763,396.9762,347.6067,398.9943
50400114,50400081,MAR01,0,0,2,9,-0.6386,-1.1032,-0.469,0.4062,7,-0.4446,0.7803,363.6419,302.8988,384.455
50400059,50400083,MAR01,0,0,0,9,-0.6386,-1.1032,0.6382,0.4062,7,-0.8137,-0.0207,330.0625,329.8883,305.6009
50400128,50400108,MAR01,1,4,2,9,0.9218,-1.1032,0.1342,-1.0247,6,-0.9289,0.1458,301.9263,285.139,364.5842
50400093,50400109,MAR01,0,0,2,1,-0.6386,0.4058,0.0079,-1.8502,5,-1.1986,-0.3266,412.2508,436.6109,394.2299
50400128,50400112,MAR01,1,0,2,9,-0.6386,-1.1032,-3.6178,-0.8411,6,0.0253,0.1801,317.8979,317.2397,317.7175
50400152,50400117,MAR01,0,0,0,9,-0.6386,-1.1032,-3.7737,-0.7265,6,0.28,-0.6585,373.5497,343.0062,386.9111
50400100,50400120,MAR01,0,0,2,1,-0.6386,-1.1625,-2.6519,0.4062,7,-2.8028,-0.4981,444.8161,496.3613,474.1674
50400025,50400124,MAR01,0,0,3,9,-0.6386,-1.1032,1.5386,0.4062,7,2.8889,0.3625,463.6197,400.4306,460.0819
50400092,50400130,MAR01,0,0,1,1,-0.6386,0.1983,-0.921,-3.6142,2,1.8139,2.6829,387.5449,379.598,394.4553
50400170,50400148,MAR01,1,0,2,1,2.6536,1.2352,-2.2964,0.4062,7,-1.1279,-0.3495,355.1203,244.2877,322.6951
50400078,50400150,MAR01,1,3,1,9,1.5406,0.9594,-1.4115,0.4062,7,-2.6641,-2.3763,337.2018,320.7696,364.5891
50400092,50400153,MAR01,0,0,0,1,-0.6386,1.0849,-3.2925,0.4062,7,-2.8028,-2.3763,388.5175,396.1714,391.8329
50400129,50400162,MAR01,0,10,2,9,-0.6386,-1.1032,-1.0309,-0.7291,6,0.0498,-0.4532,383.4669,383.6942,380.2525
50400168,50400185,MAR01,0,0,3,1,-0.6386,0.0734,-0.0204,0.4062,7,-1.0009,-0.9403,503.9481,500.9081,518.3072
50400071,50400198,MAR01,0,0,1,1,-0.6386,0.1494,-0.6007,0.4062,7,-0.7772,-0.4935,427.9531,453.8231,462.9345
50400071,50400203,MAR01,0,2,2,1,-0.6386,-0.0372,-3.6295,0.4062,7,-2.8028,-2.3763,442.4004,383.9938,449.1436
50400046,50400210,MAR01,1,10,1,1,0.4139,2.5305,-1.8061,0.4062,7,0.3623,-1.0104,353.7399,362.2322,347.8554
50400092,50400216,MAR01,0,0,0,1,-0.6386,0.9691,-3.6452,0.4062,7,-1.4947,-1.4518,366.0799,408.8912,401.7478
50400152,50400223,MAR01,0,0,0,1,-0.6386,-1.1032,-1.9661,0.4062,7,-0.7295,-0.6603,384.6388,404.855,388.008
50400046,50400234,MAR01,1,6,1,1,1.6186,0.3307,0.0551,0.1634,3,-0.8213,0.2938,292.5387,349.6039,326.5793
50400128,50400235,MAR01,0,5,0,1,-0.6386,0.7702,-2.328,-1.5425,5,-0.684,-0.1177,360.1737,356.7758,386.9753
50400078,50400243,MAR01,1,10,2,1,0.5348,-1.4822,-2.9155,0.4062,7,-1.333,-0.0494,426.8828,365.0869,416.6907
50400170,50400249,MAR01,1,0,0,1,0.5348,0.6733,-3.3648,0.4062,7,-0.2207,0.2082,292.4042,299.9849,326.4949
50400006,50400255,MAR01,1,0,0,9,-0.6386,0.9682,-3.6112,0.1884,5,-2.8028,-2.3763,295.7701,260.3458,312.9819
50400128,50400257,MAR01,1,10,3,9,0.5348,-1.1032,-3.1824,-1.0247,6,-0.8457,0.1157,349.2544,338.0626,373.4171
50400168,50400259,MAR01,0,0,2,9,1.1039,-1.1032,-0.6947,-0.0831,6,-1.0725,-0.1606,403.3104,326.5385,363.426
50400046,50400263,MAR01,1,0,1,9,2.6536,-0.7351,-2.6192,-2.1308,4,-2.8028,-2.3763,342.3117,315.5323,280.5414
50400114,50400279,MAR01,1,0,2,1,-0.6386,0.5158,-2.721,0.4062,7,-0.3346,1.3575,356.2672,314.5544,340.5445
50400089,50400288,MAR01,0,0,0,0,0.9993,-1.4956,-1.0479,-1.9856,4,-1.3309,0.1249,400.7245,385.1678,446.1748
50400059,50400292,MAR01,1,6,1,1,1.5406,0.8245,-4.0328,-1.1809,6,-0.7187,0.0712,317.9885,256.5206,351.0411
50400114,50400309,MAR01,1,10,4,9,2.3534,2.4909,-0.08,0.4062,7,0.5824,0.3586,313.2361,252.5073,292.5139
50400114,50400316,MAR01,1,2,3,1,0.8948,0.5904,-1.039,0.4062,7,-0.5889,0.9466,343.3859,321.3679,339.3716
50400100,50400342,MAR01,0,0,1,1,-0.6386,0.0459,-1.6359,-3.3154,2,-2.8028,0.3917,423.9895,424.296,402.4421
50400152,50400344,MAR01,0,0,0,1,-0.6386,0.2242,-1.5562,-1.5678,5,-1.2503,-0.6223,351.7608,402.0024,404.945
50400168,50400346,MAR01,0,0,2,9,0.5348,-1.1032,-1.5842,0.4062,7,-0.2001,-0.0569,478.615,457.509,490.1675
50400089,50400366,MAR01,0,0,0,1,-0.6386,-0.8094,-2.929,0.4062,7,0.4072,-2.3763,490.2086,415.2463,487.4469
50400006,50400372,MAR01,1,10,3,9,0.5348,-1.1032,-1.387,0.4062,7,0.0218,0.7133,301.9273,304.0533,294.6089
50400092,50400385,MAR01,0,0,3,1,0.5348,0.6513,-3.3068,-1.9856,4,-0.8732,-1.2112,402.661,437.0829,419.0238
50400137,50400387,MAR01,0,0,2,9,-0.6386,-1.1032,-3.9634,0.4062,7,-1.1579,-1.4949,404.5533,372.7305,404.1287
50400170,50400389,MAR01,1,3,1,1,1.2062,-0.4213,-1.3046,0.4062,7,-0.438,-2.3763,365.8634,340.5138,352.842
50400137,50400407,MAR01,1,0,2,9,-0.6386,-1.1032,-3.3757,0.4062,7,0.3623,-1.2229,336.8549,310.9922,348.8802
50400152,50400409,MAR01,0,0,2,1,2.3555,0.8619,-1.8208,0.4062,7,-0.9715,-0.6492,377.3778,356.5349,367.8251
50400006,50400412,MAR01,1,0,2,1,-0.6386,0.7963,-1.3881,0.305,6,0.3623,-1.4116,369.6088,430.0775,356.6262
50400168,50400422,MAR01,0,0,2,1,-0.6386,-1.1032,-2.6485,0.4062,7,-1.7368,0.2421,375.8356,351.9903,370.276
50400129,50400427,MAR01,0,0,3,9,0.5348,-1.1032,-0.4964,-2.8801,3,0.731,0.8548,425.2163,353.1829,442.5009
50400093,50400450,MAR01,1,0,2,9,1.6441,-0.8236,-1.2825,0.4062,7,-0.6704,0.9554,372.7378,385.2603,369.6305
50400025,50400479,MAR01,0,0,1,1,0.9993,0.046,1.0677,0.4062,7,0.1515,0.3109,432.2309,397.3433,411.6783
50400006,50400532,MAR01,1,0,0,1,-0.6386,0.5256,-1.9067,0.4062,7,-0.0845,0.5501,356.4828,247.1068,318.9914
50400071,50400538,MAR01,1,0,1,1,-0.6386,0.3316,-2.3175,0.4062,7,2.8889,1.4542,327.7055,295.9217,311.6321
50400177,50400562,MAR01,1,5,3,1,1.2062,1.4002,-2.3195,0.346,6,1.3231,-0.3608,407.072,357.5096,401.8663
50400078,50400566,MAR01,1,1,1,1,1.18,-1.4388,-4.788,0.4062,7,-0.6704,-2.3763,315.2437,290.9976,343.8465
